X_id,ID,Name,Type,Lights,Courts,Phone,ClubName,ClubWebsite,ClubInfo,LocationAddress,WinterPlay,geometry
37,2642,Dennis Flynn Park,Public,Yes,3,311,,,,370 The West Mall ,,"{""coordinates"": [[-79.5660873359, 43.6407105505]], ""type"": ""MultiPoint""}"
38,86,Dovercourt Park,Public,No,2,311,,,,155  Bartlett Ave ,Yes,"{""coordinates"": [[-79.4335347104, 43.6652150466]], ""type"": ""MultiPoint""}"
39,501,Dunlace Park,Club,Yes,3,289-809-3061,Dunlace Tennis Club,http://www.dunlacetennis.com,,28 Dunlace Dr ,,"{""coordinates"": [[-79.3684971127, 43.7627551751]], ""type"": ""MultiPoint""}"
40,514,Earlscourt Park,Public,Yes,1,311,,,,1200  Lansdowne Ave ,,"{""coordinates"": [[-79.4515037405, 43.6736233981]], ""type"": ""MultiPoint""}"
41,948,East Mall Park,Public,Yes,3,311,,,,355 The East Mall ,Yes,"{""coordinates"": [[-79.557311762, 43.6424081745]], ""type"": ""MultiPoint""}"
42,9,Eglinton Flats,Public,Yes,13,311,,,,101 Emmett Ave ,,"{""coordinates"": [[-79.4993864321, 43.6849623766]], ""type"": ""MultiPoint""}"
43,117,Eglinton Park,Public,Yes,2,416-392-6585,,,,200  Eglinton Ave W,,"{""coordinates"": [[-79.4053288336, 43.707455346]], ""type"": ""MultiPoint""}"
44,490,Elie Wiesel Park,Public,Yes,3,311,,,,30  Palm Dr ,Yes,"{""coordinates"": [[-79.4380929802, 43.7457158533]], ""type"": ""MultiPoint""}"
45,594,Elizabeth Simcoe Park,Club,Yes,4,647-228-5821,Guildwood Tennis Club,http://www.guildwoodtennis.com,,180  Sylvan Ave ,,"{""coordinates"": [[-79.2047485273, 43.7394428294]], ""type"": ""MultiPoint""}"
46,127,Fairmount Park,Public,Yes,4,311,,,,1725  Gerrard St E,Yes,"{""coordinates"": [[-79.3157246806, 43.6758927912]], ""type"": ""MultiPoint""}"
47,312,Fenside Park,Public,Yes,4,311,,,,30  Slidell Cres ,Yes,"{""coordinates"": [[-79.3272223147, 43.7648962727]], ""type"": ""MultiPoint""}"
48,572,Firgrove Park,Public,No,3,311,,,,254  Firgrove Cres ,Yes,"{""coordinates"": [[-79.5215981399, 43.7506299125]], ""type"": ""MultiPoint""}"
49,963,Flagstaff Park,Public,Yes,2,311,,,,42  Mercury Rd ,,"{""coordinates"": [[-79.5906395357, 43.7211741632]], ""type"": ""MultiPoint""}"
50,593,Fountainhead Park,Club,Yes,3,416-496-0225,Fountainhead Community Tennis Club,http://www.nyta.org/fountainhead_new.html,,445  Sentinel Rd ,,"{""coordinates"": [[-79.4989775676, 43.7619604841]], ""type"": ""MultiPoint""}"
51,843,Gihon Spring Park,Public,Yes,2,311,,,,75  Gihon Spring Dr ,Yes,"{""coordinates"": [[-79.5946310982, 43.7545277654]], ""type"": ""MultiPoint""}"
52,915,Glen Park,Public,Yes,2,311,,,,44 A Eastglen Cres ,,"{""coordinates"": [[-79.5528803231, 43.6508232808]], ""type"": ""MultiPoint""}"
53,640,Glendora Park,Public,Yes,2,311,,,,201  Glendora Ave ,Yes,"{""coordinates"": [[-79.3999245342, 43.7615281708]], ""type"": ""MultiPoint""}"
54,644,Goulding Park,Public,No,3,311,,,,80  Patricia Ave ,Yes,"{""coordinates"": [[-79.4223942054, 43.7908731496]], ""type"": ""MultiPoint""}"
55,645,Gracedale Park,Public,No,3,311,,,,176  Gracedale Blvd ,Yes,"{""coordinates"": [[-79.5621766567, 43.751942337]], ""type"": ""MultiPoint""}"
56,648,Grandravine Park,Public,No,3,311,,,,23 Grandravine Dr ,,"{""coordinates"": [[-79.4913156605, 43.7519255923]], ""type"": ""MultiPoint""}"
57,649,Graydon Hall Park,Public,Yes,3,311,,,,215  Graydon Hall Dr ,,"{""coordinates"": [[-79.3420432259, 43.7629563033]], ""type"": ""MultiPoint""}"
58,651,Gwendolen Park,Club,Yes,3,416-730-0429,Gwendolen Tennis Club,http://www.gwendolentennis.com,,3 Gwendolen Cres ,,"{""coordinates"": [[-79.4199866692, 43.7513187144]], ""type"": ""MultiPoint""}"
59,651,Gwendolen Park,Public,Yes,1,311,,,,3 Gwendolen Cres ,,"{""coordinates"": [[-79.4199866692, 43.7513187144]], ""type"": ""MultiPoint""}"
60,654,Havenbrook Park,Club,Yes,4,416-493-7675,Henry Farm Tennis Club,http://www.henryfarmtennisclub.ca,,15  Havenbrook Blvd. ,,"{""coordinates"": [[-79.356629149, 43.7677120823]], ""type"": ""MultiPoint""}"
61,2365,Hawksbury Park,Club,Yes,6,647-974-5499,Bayview Village Tennis Club,http://www.bayviewvillagetennis.com,,1 A Hawksbury Dr ,,"{""coordinates"": [[-79.3830617488, 43.7708575539]], ""type"": ""MultiPoint""}"
62,659,Hendon Park,Public,Yes,4,311,,,,50  Hendon Ave ,,"{""coordinates"": [[-79.4207514299, 43.7814751015]], ""type"": ""MultiPoint""}"
63,2025,Heron Park,Club,Yes,5,416-282-4842,Heron Park Tennis Club,http://www.heronparktennis.com,,292   Manse Rd ,,"{""coordinates"": [[-79.1772993978, 43.7692842438]], ""type"": ""MultiPoint""}"
64,77,High Park,Public,Yes,7,416-392-7807,,,,1873 Bloor St W,Yes,"{""coordinates"": [[-79.4628353718, 43.6468021242]], ""type"": ""MultiPoint""}"
65,77,High Park,Club,Yes,7,416-769-5600,Howard Park Tennis Club,http://www.howardparktennis.com,,1873 Bloor St W,Yes,"{""coordinates"": [[-79.4628353718, 43.6468021242]], ""type"": ""MultiPoint""}"
66,79,Hillcrest Park,Club,Yes,4,416 654 6756,Wychwood Tennis Club,http://www.wychwoodtennis.ca,,950  Davenport Rd ,Yes,"{""coordinates"": [[-79.4245259326, 43.6759841933]], ""type"": ""MultiPoint""}"
67,424,Howard Talbot Park,Public,No,2,311,,,,635  Eglinton Ave E,,"{""coordinates"": [[-79.3737533705, 43.7106035003]], ""type"": ""MultiPoint""}"
68,663,Hullmar Park,Public,Yes,3,311,,,,97  Hullmar Dr ,Yes,"{""coordinates"": [[-79.525418559, 43.7649386273]], ""type"": ""MultiPoint""}"
69,1012,Humber Valley Park,Public,Yes,4,311,,,,54  Anglesey Blvd ,,"{""coordinates"": [[-79.5251424045, 43.6649968467]], ""type"": ""MultiPoint""}"
70,936,Indian Line Park,Public,Yes,2,311,,,,655  Humberwood Blvd ,,"{""coordinates"": [[-79.6224617942, 43.7249686499]], ""type"": ""MultiPoint""}"
71,686,Iroquois Park,Club,No,3,311,Iroquois Tennis Club,http://www.iroquoistennisclub.ca,,295  Chartland Blvd S,,"{""coordinates"": [[-79.2673200765, 43.803747715]], ""type"": ""MultiPoint""}"
72,665,Irving W. Chapley Park,Public,Yes,2,311,,,,205  Wilmington Ave ,Yes,"{""coordinates"": [[-79.4552215133, 43.7617768339]], ""type"": ""MultiPoint""}"
73,875,Jeff Healey Park,Public,Yes,2,311,,,,1  Delroy Dr ,Yes,"{""coordinates"": [[-79.4949226173, 43.6302406958]], ""type"": ""MultiPoint""}"
74,155,Jimmie Simpson Park,Public,No,2,311,,,,870  Queen St E,Yes,"{""coordinates"": [[-79.344742415, 43.6611735016]], ""type"": ""MultiPoint""}"
75,67,Jonathan Ashbridge Park,Public,No,2,311,,,,1515  Queen St E,Yes,"{""coordinates"": [[-79.3199305741, 43.6646987507]], ""type"": ""MultiPoint""}"
76,78,June Rowlands Park,Club,Yes,6,416-481-6569,Davisville Tennis Club,http://www.davisvilletennisclub.com,,220  Davisville Ave ,,"{""coordinates"": [[-79.3885304569, 43.7006938955]], ""type"": ""MultiPoint""}"
77,959,Kingsview Park,Public,No,2,311,,,,46 Kingsview Blvd ,,"{""coordinates"": [[-79.5543427124, 43.6991667321]], ""type"": ""MultiPoint""}"
78,672,Kirkwood Park,Public,Yes,4,311,,,,25  Kirkwood Rd. ,Yes,"{""coordinates"": [[-79.3616754511, 43.7556139518]], ""type"": ""MultiPoint""}"
79,699,L'Amoreaux Tennis Centre,Club,Yes,5,416-396-4041,Scarborough Winter Tennis Club,http://www.swtc.ca,,300  Silver Springs Blvd ,,"{""coordinates"": [[-79.3050267039999, 43.805449053]], ""type"": ""MultiPoint""}"
80,1029,Laburnham Park,Public,Yes,2,311,,,,60  Laburnham Ave ,Yes,"{""coordinates"": [[-79.5280276883, 43.6001318064]], ""type"": ""MultiPoint""}"
81,112,Lakeshore Boulevard Parklands,Public,No,4,311,,,,1389  Lake Shore Blvd W,Yes,"{""coordinates"": [[-79.4426021971, 43.6348233595]], ""type"": ""MultiPoint""}"
82,847,Lambton - Kingsway Park,Public,No,2,311,,,,37 Marquis Ave ,,"{""coordinates"": [[-79.5078062917, 43.6575825508]], ""type"": ""MultiPoint""}"
83,674,Lanyard Park,Public,No,3,311,,,,138  Lanyard Rd. ,Yes,"{""coordinates"": [[-79.5486740564, 43.7475157958]], ""type"": ""MultiPoint""}"
84,119,Lawrence Park Ravine,Club,Yes,3,311,Lawrence Park Tennis Club,http://www.lawrenceparktennisclub.ca,,51 Alexander Muir Rd. ,,"{""coordinates"": [[-79.3999718915, 43.7222056878]], ""type"": ""MultiPoint""}"
85,425,Leaside Park,Club,Yes,6,416-429-7108,Thorncliffe Park Tennis Club,http://www.tptc.ca,,5  Leaside Park Dr ,,"{""coordinates"": [[-79.35009806, 43.7021962957]], ""type"": ""MultiPoint""}"
86,681,Lillian Park,Club,Yes,3,416-512-7432,Newtonbrook Tennis Club,http://www.newtonbrooktennis.com,,227  Otonabee Ave ,,"{""coordinates"": [[-79.4079395846, 43.7976883865]], ""type"": ""MultiPoint""}"
87,922,Lora Hill Park,Club,Yes,2,311,,,,36 Fernalroy Blvd ,Yes,"{""coordinates"": [[-79.5148294637, 43.6383335775]], ""type"": ""MultiPoint""}"
88,138,Lytton Park,Club,Yes,3,416-312-5300,Lytton Park,http://www.lyttonparktennis.com,,200  Lytton Blvd ,,"{""coordinates"": [[-79.4108232766, 43.7149211094]], ""type"": ""MultiPoint""}"
89,708,Major Abbas Ali Park,Club,Yes,3,311,Major Abbas Ali Park,,,180  Mclevin Ave ,,"{""coordinates"": [[-79.2306931574, 43.8048478217]], ""type"": ""MultiPoint""}"
90,2593,Malvern Park,Public,Yes,3,311,,,,36 Sewells Rd ,Yes,"{""coordinates"": [[-79.2171753204, 43.8091940924]], ""type"": ""MultiPoint""}"
91,920,Manchester Park,Public,Yes,3,311,,,,75  Manchester St ,Yes,"{""coordinates"": [[-79.4913000364, 43.619935502]], ""type"": ""MultiPoint""}"
92,688,Maple Leaf Park,Public,Yes,3,311,,,,320 Culford Rd ,Yes,"{""coordinates"": [[-79.4934534865, 43.7158024716]], ""type"": ""MultiPoint""}"
93,849,Martingrove Gardens Park,Public,Yes,2,311,,,,31  Lavington Dr ,,"{""coordinates"": [[-79.5633368359, 43.6891656087]], ""type"": ""MultiPoint""}"
94,2016,Maryland Park,Club,Yes,4,416-699-2412,Dentonia Park Tennis Club,https://www.dentoniatennis.com,,19  Maryland Blvd ,Yes,"{""coordinates"": [[-79.295201344, 43.6918451978]], ""type"": ""MultiPoint""}"
95,704,Maryvale Park,Club,Yes,3,416-878-5005,Maryvale Tennis Club,http://www.maryvaletennis.blogspot.ca,,5 Trestleside Grv ,Yes,"{""coordinates"": [[-79.3065284999, 43.7530814449]], ""type"": ""MultiPoint""}"
96,791,McDairmid Woods Park,Public,Yes,3,311,,,,51  Rubic Cres ,Yes,"{""coordinates"": [[-79.2676081455, 43.7798555618]], ""type"": ""MultiPoint""}"
97,2036,McGregor Park,Public,No,2,311,,,,2231  Lawrence Ave E,Yes,"{""coordinates"": [[-79.2805594627, 43.7473020114]], ""type"": ""MultiPoint""}"
98,689,Mcnicoll Park,Public,Yes,3,311,,,,215  Mcnicoll Ave ,,"{""coordinates"": [[-79.3532864223, 43.7986097916]], ""type"": ""MultiPoint""}"
99,505,Michael Mostyn Balmoral Park,Public,Yes,3,311,,,,170 Faywood Blvd ,,"{""coordinates"": [[-79.4498858035, 43.7448633255]], ""type"": ""MultiPoint""}"
100,2486,Mill Valley Park,Public,No,2,311,,,,412  Mill Rd ,,"{""coordinates"": [[-79.5878181642, 43.6418045413]], ""type"": ""MultiPoint""}"
101,853,Millwood Park,Public,Yes,3,311,,,,4370  Bloor St W,,"{""coordinates"": [[-79.5784370187, 43.6317644586]], ""type"": ""MultiPoint""}"
102,854,Mimico Memorial Park,Club,Yes,3,311,Mimico Tennis Club,http://www.mimicotennisclub.org,,75  Hillside Ave ,,"{""coordinates"": [[-79.4936683215, 43.6098135096]], ""type"": ""MultiPoint""}"
103,695,Moore Park - North York,Public,No,3,311,,,,110  Cactus Ave ,,"{""coordinates"": [[-79.4353438261, 43.7915790218]], ""type"": ""MultiPoint""}"
104,168,Moorevale Park,Club,Yes,5,647-556-7877,Moore Park Tennis Club,http://www.mooretennis.com,,175  Moore Ave ,,"{""coordinates"": [[-79.3822524663, 43.6935039722]], ""type"": ""MultiPoint""}"
105,177,Moss Park,Public,Yes,1,311,,,,150  Sherbourne St ,,"{""coordinates"": [[-79.3710758316, 43.6550677781]], ""type"": ""MultiPoint""}"
106,726,North Bendale Park,Club,Yes,3,416-451-7526,North Bendale Tennis Club,http://www.northbendaletennisclub.org,,40  Erinlea Cres ,,"{""coordinates"": [[-79.2447949901, 43.7697082605]], ""type"": ""MultiPoint""}"
107,700,North Park,Public,No,2,311,,,,587 Rustic Rd ,,"{""coordinates"": [[-79.4739613038, 43.7164073429]], ""type"": ""MultiPoint""}"
108,228,Norwood Park,Public,No,5,311,,,,16 Norwood Rd ,Yes,"{""coordinates"": [[-79.3037543007, 43.6823093419]], ""type"": ""MultiPoint""}"
109,1884,Old Mill Site Park,Club,Yes,4,416-763-3088,York Old Mill Tennis Club,http://www.oldmilltennis.com,,5  Catherine St ,,"{""coordinates"": [[-79.4902386929, 43.6508546958]], ""type"": ""MultiPoint""}"
110,937,Oriole Park - North York,Club,Yes,4,311,Oriole Park - North York,,,2955  Don Mills Rd ,,"{""coordinates"": [[-79.3510068663, 43.781490886]], ""type"": ""MultiPoint""}"
111,245,Oriole Park - Toronto,Public,No,2,311,,,,201  Oriole Pkwy ,Yes,"{""coordinates"": [[-79.400237963, 43.6972457332]], ""type"": ""MultiPoint""}"
112,857,Ourland Park,Public,Yes,2,311,,,,18  Ourland Ave ,Yes,"{""coordinates"": [[-79.5086951021, 43.6155516982]], ""type"": ""MultiPoint""}"
113,858,Park Lawn Park,Public,Yes,4,416-394-8491,,,,330 Park Lawn Rd ,,"{""coordinates"": [[-79.4955210501, 43.6391576953]], ""type"": ""MultiPoint""}"
114,723,Pelmo Park,Public,Yes,3,311,,,,171  Pellatt Ave ,Yes,"{""coordinates"": [[-79.5176161181, 43.7133754964]], ""type"": ""MultiPoint""}"
115,859,Pine Point Park,Club,Yes,4,416-657-2529,Pine Point Tennis Club,http://www.pinepointtennis.com,,4 Conan Rd ,Yes,"{""coordinates"": [[-79.5441307178, 43.7161585765]], ""type"": ""MultiPoint""}"
116,859,Pine Point Park,Public,Yes,2,311,,,,4 Conan Rd ,Yes,"{""coordinates"": [[-79.5441307178, 43.7161585765]], ""type"": ""MultiPoint""}"
117,733,Prairie Drive Park,Public,Yes,3,311,,,,101 Pharmacy Ave ,,"{""coordinates"": [[-79.2841183812, 43.6971138504]], ""type"": ""MultiPoint""}"
118,924,Prince of Wales Park,Public,Yes,4,311,,,,1 Third St ,,"{""coordinates"": [[-79.4987828571, 43.5988411312]], ""type"": ""MultiPoint""}"
119,951,Princess Anne Park,Public,No,2,311,,,,25 A Princess Margaret Blvd ,,"{""coordinates"": [[-79.5397461835, 43.6732653522]], ""type"": ""MultiPoint""}"
120,861,Queensway Park,Public,No,2,311,,,,8  Avon Park Dr ,,"{""coordinates"": [[-79.5064037093, 43.6272622573]], ""type"": ""MultiPoint""}"
121,167,Ramsden Park,Public,No,12,311,,,,1020 Yonge St ,Yes,"{""coordinates"": [[-79.3930150445, 43.6764157172]], ""type"": ""MultiPoint""}"
122,181,Rennie Park,Club,Yes,4,311,The Swansea Tennis Club,http://www.swanseatennis.com,,1  Rennie Terr ,,"{""coordinates"": [[-79.4722488073, 43.6425865388]], ""type"": ""MultiPoint""}"
123,343,Riverdale Park East,Public,No,7,311,,,,550 Broadview Ave ,Yes,"{""coordinates"": [[-79.3557408692, 43.6700504666]], ""type"": ""MultiPoint""}"
124,742,Rockford Park,Public,No,2,311,,,,70  Rockford Rd ,,"{""coordinates"": [[-79.4539759017, 43.786447041]], ""type"": ""MultiPoint""}"
125,210,Rosedale Park,Club,No,8,416-922-7906,The Rosedale Tennis Club,http://www.rosedaletennis.com,,20  Scholfield Ave ,,"{""coordinates"": [[-79.3789306778, 43.6827794649]], ""type"": ""MultiPoint""}"
126,987,Rosethorn Park,Club,Yes,3,311,The Rosethorn Tennis Club,https://www.rosethorntennisclub.com/,,26  Remington Dr ,,"{""coordinates"": [[-79.5391261116, 43.6584426506]], ""type"": ""MultiPoint""}"
127,867,Rotary Peace Park,Public,No,2,311,,,,25 Eleventh St ,Yes,"{""coordinates"": [[-79.5068692837, 43.5947627637]], ""type"": ""MultiPoint""}"
128,878,Royal Crest Park,Public,Yes,3,311,,,,50  Cabernet Cir ,,"{""coordinates"": [[-79.6052923472, 43.7527913227]], ""type"": ""MultiPoint""}"
129,347,Roywood Park,Public,Yes,4,311,,,,2  Roywood Dr ,Yes,"{""coordinates"": [[-79.3207956529, 43.7645460279]], ""type"": ""MultiPoint""}"
130,747,Ruddington Park,Public,Yes,3,311,,,,75  Ruddington Dr ,,"{""coordinates"": [[-79.3892434185, 43.7922885516]], ""type"": ""MultiPoint""}"
131,235,Runnymede Park,Public,No,2,311,,,,221  Ryding Ave ,Yes,"{""coordinates"": [[-79.4785521342, 43.6682913596]], ""type"": ""MultiPoint""}"
132,1748,Scarboro Crescent Park,Club,Yes,4,416-410-6300,Scarborough Bluffs Tennis Club,http://www.sbtennis.org,,61 Undercliff Dr ,Yes,"{""coordinates"": [[-79.2418181671, 43.7038058727]], ""type"": ""MultiPoint""}"
133,1471,Scarlett Mills Park,Club,Yes,4,416-279-9940,Edenbridge Tennis Club,https://edenbridgetennis.com/,,235  Edenbridge Dr ,,"{""coordinates"": [[-79.5106471991, 43.675747482]], ""type"": ""MultiPoint""}"
134,748,Seneca Hill Park,Club,Yes,4,311,Seneca Hill Tennis Club,https://senecahilltennisclub.com/,,620  Seneca Hill Dr ,,"{""coordinates"": [[-79.3517317119, 43.7915047411]], ""type"": ""MultiPoint""}"
135,752,Sentinel Park,Public,No,2,311,,,,295  Sentinel Rd ,Yes,"{""coordinates"": [[-79.4985517251, 43.7552003414]], ""type"": ""MultiPoint""}"
136,590,Seven Oaks Park,Club,Yes,3,311,Seven Oaks Tennis Club,,,372  Military Trl ,,"{""coordinates"": [[-79.2105842681, 43.7882509494]], ""type"": ""MultiPoint""}"
137,2595,Shawnee Park,Public,No,4,311,,,,81  Shawnee Cir ,Yes,"{""coordinates"": [[-79.3383512436, 43.797043156]], ""type"": ""MultiPoint""}"
138,877,Silver Creek Park,Club,Yes,3,416-244-7286,Silver Creek Seniors Tennis Club,,,44  Strathdee Dr. ,Yes,"{""coordinates"": [[-79.5434038267, 43.6827011213]], ""type"": ""MultiPoint""}"
139,2065,Sir Adam Beck Park,Public,Yes,2,311,,,,55  Eltham Dr ,,"{""coordinates"": [[-79.5475491068, 43.602121408]], ""type"": ""MultiPoint""}"
140,200,Sir Winston Churchill Park,Club,Yes,7,416-924-4558,Sir Winston Churchill Tennis Club,http://www.winstonchurchilltennis.ca,,301  St. Clair Ave W,,"{""coordinates"": [[-79.408860746, 43.6828812958]], ""type"": ""MultiPoint""}"
141,348,Sorauren Avenue Park,Public,No,2,311,,,,289  Sorauren Ave ,Yes,"{""coordinates"": [[-79.443067482, 43.6486487345]], ""type"": ""MultiPoint""}"
142,3693,Stanley Greene Park,None,Yes,2,311,,,,55  Stanley Greene Blvd.  ,,"{""coordinates"": [[-79.4773371246, 43.7344958725]], ""type"": ""MultiPoint""}"
143,761,Stanley Park,Public,No,3,311,,,,27  Stanley Rd. ,Yes,"{""coordinates"": [[-79.515406362, 43.7419026899]], ""type"": ""MultiPoint""}"
144,2750,Stanley Park South - Toronto,Public,No,2,416-392-0703,,,,700 Wellington St W,,"{""coordinates"": [[-79.4089348293, 43.6419107656]], ""type"": ""MultiPoint""}"
145,2034,Stephen Leacock Park,Club,Yes,4,311,Stephen Leacock Tennis Club,http://www.stephenleacock-tennis.ca,,2530  Birchmount Rd ,,"{""coordinates"": [[-79.3024857029, 43.7872164775]], ""type"": ""MultiPoint""}"
